[ 2025-07-23 14:58:18,097 ] 19 root - INFO - intiating the data ingestion
[ 2025-07-23 14:58:23,267 ] 78 root - INFO - Performed train test split on the dataframe
[ 2025-07-23 14:58:23,267 ] 80 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-23 14:58:23,267 ] 86 root - INFO - Exporting train and test data as a csv into file path.
[ 2025-07-23 14:58:23,316 ] 95 root - INFO - Exported train and test file path.
[ 2025-07-23 14:58:23,316 ] 21 root - INFO - data ingestion completed
[ 2025-07-23 14:58:23,316 ] 27 root - INFO - Initiating data validation
[ 2025-07-23 14:58:23,371 ] 35 root - INFO - Required number of columns:2
[ 2025-07-23 14:58:23,371 ] 36 root - INFO - Data frame has columns:31
[ 2025-07-23 14:58:23,372 ] 35 root - INFO - Required number of columns:2
[ 2025-07-23 14:58:23,372 ] 36 root - INFO - Data frame has columns:31
[ 2025-07-23 14:58:23,492 ] 29 root - INFO - data validation completed
[ 2025-07-23 14:58:23,493 ] 34 root - INFO - Initiating data ingestion
[ 2025-07-23 14:58:23,493 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-23 14:58:23,493 ] 64 root - INFO - Starting data transformation
[ 2025-07-23 14:58:23,511 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-23 14:58:23,511 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-23 14:58:23,521 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 14:58:23,521 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 14:58:23,521 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 14:58:23,521 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-23 14:58:23,521 ] 36 root - INFO - data transformation completed
[ 2025-07-23 14:58:23,521 ] 42 root - INFO - Initiating model training
